5,0.01,bernoulli,100,100,undef,0,undef,undef,72.76667,100,70.48644,75.04689
5,0.01,bernoulli,200,100,52.71621,3,45.08454,60.34788,54.85,100,53.20035,56.49965
5,0.01,bernoulli,300,100,43.11516,30,41.28141,44.94891,45.6,100,44.10829,47.09171
5,0.01,bernoulli,400,100,39.32122,54,38.01648,40.62597,39.21667,100,38.01401,40.41932
5,0.01,bernoulli,500,100,34.84319,72,33.6624,36.02398,35.1,100,34.05935,36.14065
5,0.01,bernoulli,600,100,32.90334,99,31.95486,33.85182,31.90556,100,30.94693,32.86418
5,0.01,bernoulli,700,100,30.37088,99,29.50512,31.23664,29.57619,100,28.70395,30.44843
5,0.01,bernoulli,800,100,28.33592,100,27.59487,29.07697,27.55,100,26.73979,28.36021
5,0.01,bernoulli,900,100,26.59783,98,25.89257,27.30308,26.08889,100,25.3604,26.81737
5,0.01,bernoulli,1000,100,25.45207,100,24.66817,26.23596,24.69667,100,24.00265,25.39068
